FEN,Evaluation
3r2k1/p2r1pp1/7p/2p5/1pN5/1P2B1Pq/1RB1KP1P/2R5 w - - 8 33,"{'type': 'cp', 'value': -113}"
3r2k1/p2r1pp1/7p/2p5/1pN5/1P2B1Pq/1RB1KP1P/R7 b - - 9 33,"{'type': 'cp', 'value': -152}"
3r2k1/p2r2p1/7p/2p2p2/1pN5/1P2B1Pq/1RB1KP1P/R7 w - - 0 34,"{'type': 'cp', 'value': -135}"
3r2k1/p2r2p1/7p/2p2p2/1pN5/1P2B1Pq/2B1KP1P/RR6 b - - 1 34,"{'type': 'cp', 'value': -178}"
3r2k1/p2r4/7p/2p2pp1/1pN5/1P2B1Pq/2B1KP1P/RR6 w - - 0 35,"{'type': 'cp', 'value': -161}"
3r2k1/p2r4/R6p/2p2pp1/1pN5/1P2B1Pq/2B1KP1P/1R6 b - - 1 35,"{'type': 'cp', 'value': -196}"
5rk1/p2r4/R6p/2p2pp1/1pN5/1P2B1Pq/2B1KP1P/1R6 w - - 2 36,"{'type': 'cp', 'value': -44}"
5rk1/p2r4/R6p/2p2pp1/1pN5/1P2B1Pq/2B1KP1P/R7 b - - 3 36,"{'type': 'cp', 'value': -20}"
5rk1/p2r4/R6p/2p2ppq/1pN5/1P2B1P1/2B1KP1P/R7 w - - 4 37,"{'type': 'cp', 'value': -56}"
5rk1/p2r4/R6p/2p2ppq/1pN5/1P2B1P1/2B2P1P/R4K2 b - - 5 37,"{'type': 'cp', 'value': -1}"
5rk1/p2r4/R6p/2p2pp1/1pN5/1P2B1P1/2B2P1q/R4K2 w - - 0 38,"{'type': 'cp', 'value': -32}"
5rk1/p2r4/6Rp/2p2pp1/1pN5/1P2B1P1/2B2P1q/R4K2 b - - 1 38,"{'type': 'cp', 'value': -1}"
5r2/p2r3k/6Rp/2p2pp1/1pN5/1P2B1P1/2B2P1q/R4K2 w - - 2 39,"{'type': 'cp', 'value': 0}"
5r2/p2r3k/R5Rp/2p2pp1/1pN5/1P2B1P1/2B2P1q/5K2 b - - 3 39,"{'type': 'cp', 'value': 0}"
5r2/p2r3k/R5Rp/2p2pp1/1pN5/1P2B1P1/2B2P2/5K1q w - - 4 40,"{'type': 'cp', 'value': 0}"
