FEN,Evaluation
8/8/4r3/6k1/8/6K1/8/8 w - - 80 214,"{'type': 'mate', 'value': -9}"
8/8/4r3/6k1/8/5K2/8/8 b - - 81 214,"{'type': 'mate', 'value': -10}"
8/8/8/4r1k1/8/5K2/8/8 w - - 82 215,"{'type': 'mate', 'value': -9}"
8/8/8/4r1k1/8/8/5K2/8 b - - 83 215,"{'type': 'mate', 'value': -8}"
8/8/8/4r3/7k/8/5K2/8 w - - 84 216,"{'type': 'cp', 'value': -275}"
8/8/8/4r3/7k/5K2/8/8 b - - 85 216,"{'type': 'cp', 'value': -813}"
8/8/8/4r1k1/8/5K2/8/8 w - - 86 217,"{'type': 'cp', 'value': -294}"
8/8/8/4r1k1/8/6K1/8/8 b - - 87 217,"{'type': 'mate', 'value': -6}"
8/8/8/6k1/8/4r1K1/8/8 w - - 88 218,"{'type': 'mate', 'value': -6}"
8/8/8/6k1/8/4r3/6K1/8 b - - 89 218,"{'type': 'mate', 'value': -6}"
8/8/8/8/6k1/4r3/6K1/8 w - - 90 219,"{'type': 'mate', 'value': -5}"
8/8/8/8/6k1/4r3/5K2/8 b - - 91 219,"{'type': 'mate', 'value': -5}"
4r3/8/8/8/6k1/8/5K2/8 w - - 92 220,"{'type': 'mate', 'value': -4}"
4r3/8/8/8/6k1/8/6K1/8 b - - 93 220,"{'type': 'mate', 'value': -4}"
5r2/8/8/8/6k1/8/6K1/8 w - - 94 221,"{'type': 'mate', 'value': -3}"
5r2/8/8/8/6k1/8/8/7K b - - 95 221,"{'type': 'mate', 'value': -3}"
5r2/8/8/8/8/7k/8/7K w - - 96 222,"{'type': 'mate', 'value': -2}"
5r2/8/8/8/8/7k/8/6K1 b - - 97 222,"{'type': 'mate', 'value': -2}"
8/8/5r2/8/8/7k/8/6K1 w - - 98 223,"{'type': 'mate', 'value': -1}"
8/8/5r2/8/8/7k/8/7K b - - 99 223,"{'type': 'mate', 'value': -1}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 29}"
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 26}"
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 25}"
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,"{'type': 'cp', 'value': 24}"
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,"{'type': 'cp', 'value': 22}"
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,"{'type': 'cp', 'value': 22}"
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 4 4,"{'type': 'cp', 'value': 29}"
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 4,"{'type': 'cp', 'value': 22}"
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 5,"{'type': 'cp', 'value': 19}"
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/4PN2/PPP1BPPP/RN1QK2R b KQkq - 1 5,"{'type': 'cp', 'value': 6}"
rn1qkb1r/ppp2pp1/4pn1p/3p1b2/3P1B2/4PN2/PPP1BPPP/RN1QK2R w KQkq - 0 6,"{'type': 'cp', 'value': 11}"
rn1qkb1r/ppp2pp1/4pn1p/3p1b2/3P1B2/4PN2/PPPNBPPP/R2QK2R b KQkq - 1 6,"{'type': 'cp', 'value': 19}"
rn1qk2r/ppp2pp1/3bpn1p/3p1b2/3P1B2/4PN2/PPPNBPPP/R2QK2R w KQkq - 2 7,"{'type': 'cp', 'value': 21}"
rn1qk2r/ppp2pp1/3bpn1p/3pNb2/3P1B2/4P3/PPPNBPPP/R2QK2R b KQkq - 3 7,"{'type': 'cp', 'value': 17}"
rn1qk2r/pppn1pp1/3bp2p/3pNb2/3P1B2/4P3/PPPNBPPP/R2QK2R w KQkq - 4 8,"{'type': 'cp', 'value': 28}"
rn1qk2r/pppn1pp1/3bp2p/3pNb2/2PP1B2/4P3/PP1NBPPP/R2QK2R b KQkq - 0 8,"{'type': 'cp', 'value': 21}"
rn1qk2r/pppn1pp1/4p2p/3pbb2/2PP1B2/4P3/PP1NBPPP/R2QK2R w KQkq - 0 9,"{'type': 'cp', 'value': 25}"
rn1qk2r/pppn1pp1/4p2p/3pPb2/2P2B2/4P3/PP1NBPPP/R2QK2R b KQkq - 0 9,"{'type': 'cp', 'value': 27}"
r2qk2r/pppn1pp1/2n1p2p/3pPb2/2P2B2/4P3/PP1NBPPP/R2QK2R w KQkq - 1 10,"{'type': 'cp', 'value': 37}"
r2qk2r/pppn1pp1/2n1p2p/3PPb2/5B2/4P3/PP1NBPPP/R2QK2R b KQkq - 0 10,"{'type': 'cp', 'value': 45}"
r2qk2r/pppn1pp1/2n4p/3pPb2/5B2/4P3/PP1NBPPP/R2QK2R w KQkq - 0 11,"{'type': 'cp', 'value': 27}"
r2qk2r/pppn1pp1/2n4p/3pPb2/5B2/1N2P3/PP2BPPP/R2QK2R b KQkq - 1 11,"{'type': 'cp', 'value': 23}"
r2qk2r/pppn1pp1/2n1b2p/3pP3/5B2/1N2P3/PP2BPPP/R2QK2R w KQkq - 2 12,"{'type': 'cp', 'value': 58}"
r2qk2r/pppn1pp1/2n1b2p/3pP3/5B2/1N2P3/PP2BPPP/2RQK2R b Kkq - 3 12,"{'type': 'cp', 'value': 39}"
r2q1rk1/pppn1pp1/2n1b2p/3pP3/5B2/1N2P3/PP2BPPP/2RQK2R w K - 4 13,"{'type': 'cp', 'value': 40}"
r2q1rk1/pppn1pp1/2n1b2p/3pP3/5B2/1N2P3/PP2BPPP/2RQ1RK1 b - - 5 13,"{'type': 'cp', 'value': 49}"
r4rk1/pppnqpp1/2n1b2p/3pP3/5B2/1N2P3/PP2BPPP/2RQ1RK1 w - - 6 14,"{'type': 'cp', 'value': 54}"
r4rk1/pppnqpp1/2n1b2p/1B1pP3/5B2/1N2P3/PP3PPP/2RQ1RK1 b - - 7 14,"{'type': 'cp', 'value': 41}"
r4rk1/ppp1qpp1/2n1b2p/1B1pn3/5B2/1N2P3/PP3PPP/2RQ1RK1 w - - 0 15,"{'type': 'cp', 'value': 37}"
r4rk1/ppp1qpp1/2n1b2p/1B1pn3/5B2/1N2P2P/PP3PP1/2RQ1RK1 b - - 0 15,"{'type': 'cp', 'value': 15}"
r4rk1/1pp1qpp1/p1n1b2p/1B1pn3/5B2/1N2P2P/PP3PP1/2RQ1RK1 w - - 0 16,"{'type': 'cp', 'value': 34}"
r4rk1/1pp1qpp1/p1n1b2p/3pn3/B4B2/1N2P2P/PP3PP1/2RQ1RK1 b - - 1 16,"{'type': 'cp', 'value': 11}"
r2r2k1/1pp1qpp1/p1n1b2p/3pn3/B4B2/1N2P2P/PP3PP1/2RQ1RK1 w - - 2 17,"{'type': 'cp', 'value': 13}"
r2r2k1/1pp1qpp1/p1n1b2p/3pn3/B2N1B2/4P2P/PP3PP1/2RQ1RK1 b - - 3 17,"{'type': 'cp', 'value': 10}"
r2r2k1/1pp1qpp1/p3b2p/3pn3/B2n1B2/4P2P/PP3PP1/2RQ1RK1 w - - 0 18,"{'type': 'cp', 'value': 8}"
r2r2k1/1pp1qpp1/p3b2p/3pB3/B2n4/4P2P/PP3PP1/2RQ1RK1 b - - 0 18,"{'type': 'cp', 'value': 11}"
r2r2k1/1pp1qpp1/p3b2p/1n1pB3/B7/4P2P/PP3PP1/2RQ1RK1 w - - 1 19,"{'type': 'cp', 'value': 7}"
r2r2k1/1pp1qpp1/p3b2p/1B1pB3/8/4P2P/PP3PP1/2RQ1RK1 b - - 0 19,"{'type': 'cp', 'value': 13}"
r2r2k1/1pp1qpp1/4b2p/1p1pB3/8/4P2P/PP3PP1/2RQ1RK1 w - - 0 20,"{'type': 'cp', 'value': 11}"
r2r2k1/1pB1qpp1/4b2p/1p1p4/8/4P2P/PP3PP1/2RQ1RK1 b - - 0 20,"{'type': 'cp', 'value': -2}"
r5k1/1pBrqpp1/4b2p/1p1p4/8/4P2P/PP3PP1/2RQ1RK1 w - - 1 21,"{'type': 'cp', 'value': 32}"
r5k1/1p1rqpp1/4b2p/1p1p4/8/4P1BP/PP3PP1/2RQ1RK1 b - - 2 21,"{'type': 'cp', 'value': -8}"
r5k1/1p1r1pp1/4bq1p/1p1p4/8/4P1BP/PP3PP1/2RQ1RK1 w - - 3 22,"{'type': 'cp', 'value': 5}"
r5k1/1p1r1pp1/4bq1p/1p1p4/8/1P2P1BP/P4PP1/2RQ1RK1 b - - 0 22,"{'type': 'cp', 'value': -17}"
6k1/1p1r1pp1/4bq1p/1p1p4/8/1P2P1BP/r4PP1/2RQ1RK1 w - - 0 23,"{'type': 'cp', 'value': -7}"
6k1/1p1r1pp1/4bq1p/1pRp4/8/1P2P1BP/r4PP1/3Q1RK1 b - - 1 23,"{'type': 'cp', 'value': -13}"
6k1/1p1r1pp1/4bq1p/1pR5/3p4/1P2P1BP/r4PP1/3Q1RK1 w - - 0 24,"{'type': 'cp', 'value': -16}"
6k1/1p1r1pp1/4bq1p/1pR5/3p4/1P2P1BP/r4PP1/1Q3RK1 b - - 1 24,"{'type': 'cp', 'value': -23}"
6k1/1p1r1pp1/4bq1p/1pR5/3p4/1P2P1BP/3r1PP1/1Q3RK1 w - - 2 25,"{'type': 'cp', 'value': -20}"
6k1/1p1r1pp1/4bq1p/1pR1B3/3p4/1P2P2P/3r1PP1/1Q3RK1 b - - 3 25,"{'type': 'cp', 'value': -24}"
6k1/1p1r1pp1/4b2p/1pR1B1q1/3p4/1P2P2P/3r1PP1/1Q3RK1 w - - 4 26,"{'type': 'cp', 'value': -19}"
6k1/1p1r1pp1/4b2p/1pR3q1/3B4/1P2P2P/3r1PP1/1Q3RK1 b - - 0 26,"{'type': 'cp', 'value': -51}"
6k1/1p3pp1/4b2p/1pRr2q1/3B4/1P2P2P/3r1PP1/1Q3RK1 w - - 1 27,"{'type': 'cp', 'value': -65}"
6k1/1p3pp1/4b2p/1pRr2q1/3B3P/1P2P3/3r1PP1/1Q3RK1 b - - 0 27,"{'type': 'cp', 'value': -151}"
6k1/1p3pp1/4b2p/1pRr4/3B2qP/1P2P3/3r1PP1/1Q3RK1 w - - 1 28,"{'type': 'cp', 'value': -152}"
6k1/1p3pp1/4b2p/1pRr4/3B2qP/1P2P3/3r1PP1/4QRK1 b - - 2 28,"{'type': 'cp', 'value': -168}"
6k1/1p3pp1/4b2p/1pr5/3B2qP/1P2P3/3r1PP1/4QRK1 w - - 0 29,"{'type': 'cp', 'value': -176}"
6k1/1p3pp1/4b2p/1pr5/3B2qP/1P2P3/3Q1PP1/5RK1 b - - 0 29,"{'type': 'cp', 'value': -206}"
6k1/1p3pp1/4b2p/1p5r/3B2qP/1P2P3/3Q1PP1/5RK1 w - - 1 30,"{'type': 'cp', 'value': -155}"
6k1/1p3pp1/1B2b2p/1p5r/6qP/1P2P3/3Q1PP1/5RK1 b - - 2 30,"{'type': 'cp', 'value': -173}"
6k1/1p3pp1/1B2b2p/1p5r/7q/1P2P3/3Q1PP1/5RK1 w - - 0 31,"{'type': 'cp', 'value': -150}"
3Q2k1/1p3pp1/1B2b2p/1p5r/7q/1P2P3/5PP1/5RK1 b - - 1 31,"{'type': 'cp', 'value': -161}"
3q2k1/1p3pp1/1B2b2p/1p5r/8/1P2P3/5PP1/5RK1 w - - 0 32,"{'type': 'cp', 'value': -163}"
3B2k1/1p3pp1/4b2p/1p5r/8/1P2P3/5PP1/5RK1 b - - 0 32,"{'type': 'cp', 'value': -137}"
3B2k1/1p3pp1/4b2p/1p1r4/8/1P2P3/5PP1/5RK1 w - - 1 33,"{'type': 'cp', 'value': -72}"
6k1/1p3pp1/1B2b2p/1p1r4/8/1P2P3/5PP1/5RK1 b - - 2 33,"{'type': 'cp', 'value': -113}"
6k1/1p3pp1/1B2b2p/1p4r1/8/1P2P3/5PP1/5RK1 w - - 3 34,"{'type': 'cp', 'value': -77}"
6k1/1p3pp1/1B2b2p/1p4r1/1P6/4P3/5PP1/5RK1 b - - 0 34,"{'type': 'cp', 'value': -91}"
6k1/1p3pp1/1B2b2p/1p6/1P4r1/4P3/5PP1/5RK1 w - - 1 35,"{'type': 'cp', 'value': -25}"
6k1/1p3pp1/4b2p/1pB5/1P4r1/4P3/5PP1/5RK1 b - - 2 35,"{'type': 'cp', 'value': -9}"
6k1/5pp1/1p2b2p/1pB5/1P4r1/4P3/5PP1/5RK1 w - - 0 36,"{'type': 'cp', 'value': -12}"
6k1/4Bpp1/1p2b2p/1p6/1P4r1/4P3/5PP1/5RK1 b - - 1 36,"{'type': 'cp', 'value': -21}"
6k1/4Bpp1/1p5p/1p6/1P4r1/1b2P3/5PP1/5RK1 w - - 2 37,"{'type': 'cp', 'value': -5}"
6k1/5pp1/1p1B3p/1p6/1P4r1/1b2P3/5PP1/5RK1 b - - 3 37,"{'type': 'cp', 'value': -32}"
6k1/5pp1/1p1B3p/1p6/1P4r1/4P3/2b2PP1/5RK1 w - - 4 38,"{'type': 'cp', 'value': -13}"
6k1/5pp1/1p1B3p/1p6/1P4r1/4PP2/2b3P1/5RK1 b - - 0 38,"{'type': 'cp', 'value': -12}"
6k1/5pp1/1p1B2rp/1p6/1P6/4PP2/2b3P1/5RK1 w - - 1 39,"{'type': 'cp', 'value': -2}"
6k1/5pp1/1p4rp/1p2B3/1P6/4PP2/2b3P1/5RK1 b - - 2 39,"{'type': 'cp', 'value': -12}"
6k1/5pp1/1p2r2p/1p2B3/1P6/4PP2/2b3P1/5RK1 w - - 3 40,"{'type': 'cp', 'value': 0}"
6k1/5pp1/1p2r2p/1p6/1P3B2/4PP2/2b3P1/5RK1 b - - 4 40,"{'type': 'cp', 'value': -25}"
6k1/6p1/1p2r2p/1p3p2/1P3B2/4PP2/2b3P1/5RK1 w - - 0 41,"{'type': 'cp', 'value': -14}"
6k1/2B3p1/1p2r2p/1p3p2/1P6/4PP2/2b3P1/5RK1 b - - 1 41,"{'type': 'cp', 'value': -19}"
6k1/2B3p1/1pr4p/1p3p2/1P6/4PP2/2b3P1/5RK1 w - - 2 42,"{'type': 'cp', 'value': -13}"
6k1/6p1/1pr4p/1p2Bp2/1P6/4PP2/2b3P1/5RK1 b - - 3 42,"{'type': 'cp', 'value': -15}"
6k1/6p1/1p2r2p/1p2Bp2/1P6/4PP2/2b3P1/5RK1 w - - 4 43,"{'type': 'cp', 'value': -16}"
6k1/2B3p1/1p2r2p/1p3p2/1P6/4PP2/2b3P1/5RK1 b - - 5 43,"{'type': 'cp', 'value': -19}"
6k1/2B3p1/1p2r2p/1p3p2/1P6/1b2PP2/6P1/5RK1 w - - 6 44,"{'type': 'cp', 'value': -15}"
6k1/2B3p1/1p2r2p/1p3p2/1P6/1b2PP2/6P1/R5K1 b - - 7 44,"{'type': 'cp', 'value': -15}"
6k1/2B5/1p2r2p/1p3pp1/1P6/1b2PP2/6P1/R5K1 w - - 0 45,"{'type': 'cp', 'value': -3}"
6k1/2B5/Rp2r2p/1p3pp1/1P6/1b2PP2/6P1/6K1 b - - 1 45,"{'type': 'cp', 'value': 0}"
8/2B4k/Rp2r2p/1p3pp1/1P6/1b2PP2/6P1/6K1 w - - 2 46,"{'type': 'cp', 'value': -2}"
8/2B4k/Rp2r2p/1p3pp1/1P6/1b2PP2/5KP1/8 b - - 3 46,"{'type': 'cp', 'value': -1}"
8/2B5/Rp2r1kp/1p3pp1/1P6/1b2PP2/5KP1/8 w - - 4 47,"{'type': 'cp', 'value': 0}"
8/2B5/1R2r1kp/1p3pp1/1P6/1b2PP2/5KP1/8 b - - 0 47,"{'type': 'cp', 'value': -1}"
8/2B5/1R2r1kp/1p3pp1/1Pb5/4PP2/5KP1/8 w - - 1 48,"{'type': 'cp', 'value': 0}"
8/2B5/4R1kp/1p3pp1/1Pb5/4PP2/5KP1/8 b - - 0 48,"{'type': 'cp', 'value': -4}"
8/2B5/4b1kp/1p3pp1/1P6/4PP2/5KP1/8 w - - 0 49,"{'type': 'cp', 'value': 0}"
8/2B5/4b1kp/1p3pp1/1P6/4PPP1/5K2/8 b - - 0 49,"{'type': 'cp', 'value': 0}"
8/2Bb4/6kp/1p3pp1/1P6/4PPP1/5K2/8 w - - 1 50,"{'type': 'cp', 'value': 0}"
8/3b4/1B4kp/1p3pp1/1P6/4PPP1/5K2/8 b - - 2 50,"{'type': 'cp', 'value': 0}"
4b3/8/1B4kp/1p3pp1/1P6/4PPP1/5K2/8 w - - 3 51,"{'type': 'cp', 'value': -5}"
4b3/8/1B4kp/1p3pp1/1P3P2/4P1P1/5K2/8 b - - 0 51,"{'type': 'cp', 'value': 0}"
4b3/8/1B4kp/1p3p2/1P3Pp1/4P1P1/5K2/8 w - - 0 52,"{'type': 'cp', 'value': 1}"
4b3/2B5/6kp/1p3p2/1P3Pp1/4P1P1/5K2/8 b - - 1 52,"{'type': 'cp', 'value': -16}"
4b3/2B5/5k1p/1p3p2/1P3Pp1/4P1P1/5K2/8 w - - 2 53,"{'type': 'cp', 'value': 0}"
4b3/2B5/5k1p/1p3p2/1P3Pp1/4P1P1/4K3/8 b - - 3 53,"{'type': 'cp', 'value': -8}"
4b3/2B5/4k2p/1p3p2/1P3Pp1/4P1P1/4K3/8 w - - 4 54,"{'type': 'cp', 'value': 0}"
3Bb3/8/4k2p/1p3p2/1P3Pp1/4P1P1/4K3/8 b - - 5 54,"{'type': 'cp', 'value': 0}"
3B4/8/2b1k2p/1p3p2/1P3Pp1/4P1P1/4K3/8 w - - 6 55,"{'type': 'cp', 'value': -4}"
8/8/2b1k2p/1p3p2/1P3PpB/4P1P1/4K3/8 b - - 7 55,"{'type': 'cp', 'value': -12}"
8/8/4k2p/1p3p2/1P2bPpB/4P1P1/4K3/8 w - - 8 56,"{'type': 'cp', 'value': -12}"
8/8/4k2p/1p3p2/1P2bPpB/4P1P1/3K4/8 b - - 9 56,"{'type': 'cp', 'value': -5}"
8/8/3k3p/1p3p2/1P2bPpB/4P1P1/3K4/8 w - - 10 57,"{'type': 'cp', 'value': 0}"
3B4/8/3k3p/1p3p2/1P2bPp1/4P1P1/3K4/8 b - - 11 57,"{'type': 'cp', 'value': -9}"
3B4/8/2k4p/1p3p2/1P2bPp1/4P1P1/3K4/8 w - - 12 58,"{'type': 'cp', 'value': -3}"
3B4/8/2k4p/1p3p2/1P2bPp1/4P1P1/4K3/8 b - - 13 58,"{'type': 'cp', 'value': -1}"
3B4/8/3k3p/1p3p2/1P2bPp1/4P1P1/4K3/8 w - - 14 59,"{'type': 'cp', 'value': 0}"
3B4/8/3k3p/1p3p2/1P2bPp1/4P1P1/5K2/8 b - - 15 59,"{'type': 'cp', 'value': -3}"
3B4/8/7p/1p1k1p2/1P2bPp1/4P1P1/5K2/8 w - - 16 60,"{'type': 'cp', 'value': 0}"
8/8/1B5p/1p1k1p2/1P2bPp1/4P1P1/5K2/8 b - - 17 60,"{'type': 'cp', 'value': -14}"
8/8/1B5p/1p3p2/1Pk1bPp1/4P1P1/5K2/8 w - - 18 61,"{'type': 'cp', 'value': -7}"
8/8/7p/1pB2p2/1Pk1bPp1/4P1P1/5K2/8 b - - 19 61,"{'type': 'cp', 'value': -12}"
8/8/7p/1pB2p2/1P2bPp1/1k2P1P1/5K2/8 w - - 20 62,"{'type': 'cp', 'value': -4}"
5B2/8/7p/1p3p2/1P2bPp1/1k2P1P1/5K2/8 b - - 21 62,"{'type': 'cp', 'value': -6}"
5B2/8/7p/1p3p2/1P2bPp1/4P1P1/k4K2/8 w - - 22 63,"{'type': 'cp', 'value': -4}"
5B2/8/7p/1p3p2/1P2bPp1/4P1P1/k7/5K2 b - - 23 63,"{'type': 'cp', 'value': -14}"
5B2/8/7p/1p3p2/1P2bPp1/1k2P1P1/8/5K2 w - - 24 64,"{'type': 'cp', 'value': -13}"
5B2/8/7p/1p3p2/1P2bPp1/1k2P1P1/4K3/8 b - - 25 64,"{'type': 'cp', 'value': -14}"
5B2/8/7p/1p3p2/1P2bPp1/4P1P1/2k1K3/8 w - - 26 65,"{'type': 'cp', 'value': -8}"
5B2/8/7p/1p3p2/1P2bPp1/4P1P1/2k2K2/8 b - - 27 65,"{'type': 'cp', 'value': -4}"
5B2/8/7p/1p3p2/1P2bPp1/3kP1P1/5K2/8 w - - 28 66,"{'type': 'cp', 'value': 0}"
8/8/7B/1p3p2/1P2bPp1/3kP1P1/5K2/8 b - - 0 66,"{'type': 'cp', 'value': 0}"
8/8/7B/1p1b1p2/1P3Pp1/3kP1P1/5K2/8 w - - 1 67,"{'type': 'cp', 'value': 0}"
8/8/7B/1p1b1p2/1P2PPp1/3k2P1/5K2/8 b - - 0 67,"{'type': 'cp', 'value': 0}"
8/8/7B/1p1b4/1P2pPp1/3k2P1/5K2/8 w - - 0 68,"{'type': 'cp', 'value': 0}"
8/8/7B/1p1b1P2/1P2p1p1/3k2P1/5K2/8 b - - 0 68,"{'type': 'cp', 'value': 0}"
8/8/7B/1p3P2/1P2p1p1/3k2P1/b4K2/8 w - - 1 69,"{'type': 'cp', 'value': 0}"
8/8/8/1p3P2/1P2p1p1/3k2P1/b4K2/2B5 b - - 2 69,"{'type': 'cp', 'value': 0}"
6b1/8/8/1p3P2/1P2p1p1/3k2P1/5K2/2B5 w - - 3 70,"{'type': 'cp', 'value': 0}"
6b1/8/8/1p3PB1/1P2p1p1/3k2P1/5K2/8 b - - 4 70,"{'type': 'cp', 'value': 0}"
8/7b/8/1p3PB1/1P2p1p1/3k2P1/5K2/8 w - - 5 71,"{'type': 'cp', 'value': 0}"
8/7b/5P2/1p4B1/1P2p1p1/3k2P1/5K2/8 b - - 0 71,"{'type': 'cp', 'value': 0}"
6b1/8/5P2/1p4B1/1P2p1p1/3k2P1/5K2/8 w - - 1 72,"{'type': 'cp', 'value': 0}"
6b1/8/5P2/1p6/1P2pBp1/3k2P1/5K2/8 b - - 2 72,"{'type': 'cp', 'value': 0}"
8/8/5P2/1p6/1Pb1pBp1/3k2P1/5K2/8 w - - 3 73,"{'type': 'cp', 'value': 0}"
8/8/5P2/1p6/1Pb1p1p1/3kB1P1/5K2/8 b - - 4 73,"{'type': 'cp', 'value': 0}"
8/8/5P2/1p6/1P2p1p1/1b1kB1P1/5K2/8 w - - 5 74,"{'type': 'cp', 'value': 0}"
8/8/5P2/1p4B1/1P2p1p1/1b1k2P1/5K2/8 b - - 6 74,"{'type': 'cp', 'value': 0}"
8/8/5P2/1p1b2B1/1P2p1p1/3k2P1/5K2/8 w - - 7 75,"{'type': 'cp', 'value': 0}"
8/8/5P2/1p1b4/1P2p1p1/3k2P1/5K2/2B5 b - - 8 75,"{'type': 'cp', 'value': 0}"
8/5b2/5P2/1p6/1P2p1p1/3k2P1/5K2/2B5 w - - 9 76,"{'type': 'cp', 'value': 0}"
8/5b2/5P2/1p6/1P2p1p1/3kB1P1/5K2/8 b - - 10 76,"{'type': 'cp', 'value': 0}"
8/8/4bP2/1p6/1P2p1p1/3kB1P1/5K2/8 w - - 11 77,"{'type': 'cp', 'value': 0}"
8/8/4bP2/1p6/1P2pBp1/3k2P1/5K2/8 b - - 12 77,"{'type': 'cp', 'value': 0}"
8/5b2/5P2/1p6/1P2pBp1/3k2P1/5K2/8 w - - 13 78,"{'type': 'cp', 'value': 0}"
8/5b2/5P1B/1p6/1P2p1p1/3k2P1/5K2/8 b - - 14 78,"{'type': 'cp', 'value': 0}"
8/8/5P1B/1p6/1Pb1p1p1/3k2P1/5K2/8 w - - 15 79,"{'type': 'cp', 'value': 0}"
8/8/5P2/1p4B1/1Pb1p1p1/3k2P1/5K2/8 b - - 16 79,"{'type': 'cp', 'value': 0}"
8/8/4bP2/1p4B1/1P2p1p1/3k2P1/5K2/8 w - - 17 80,"{'type': 'cp', 'value': 0}"
8/8/4bP2/1p6/1P2pBp1/3k2P1/5K2/8 b - - 18 80,"{'type': 'cp', 'value': 0}"
8/8/5P2/1p6/1P2pBp1/1b1k2P1/5K2/8 w - - 19 81,"{'type': 'cp', 'value': 0}"
8/8/5P1B/1p6/1P2p1p1/1b1k2P1/5K2/8 b - - 20 81,"{'type': 'cp', 'value': 0}"
8/8/4bP1B/1p6/1P2p1p1/3k2P1/5K2/8 w - - 21 82,"{'type': 'cp', 'value': 0}"
8/8/4bP2/1p6/1P2pBp1/3k2P1/5K2/8 b - - 22 82,"{'type': 'cp', 'value': 0}"
8/5b2/5P2/1p6/1P2pBp1/3k2P1/5K2/8 w - - 23 83,"{'type': 'cp', 'value': 0}"
8/5b2/5P2/1p6/1P2p1p1/3kB1P1/5K2/8 b - - 24 83,"{'type': 'cp', 'value': 0}"
8/8/5P2/1p1b4/1P2p1p1/3kB1P1/5K2/8 w - - 25 84,"{'type': 'cp', 'value': 0}"
8/B7/5P2/1p1b4/1P2p1p1/3k2P1/5K2/8 b - - 26 84,"{'type': 'cp', 'value': 0}"
8/B7/5P2/1p1b4/1Pk1p1p1/6P1/5K2/8 w - - 27 85,"{'type': 'cp', 'value': 14}"
8/B7/5P2/1p1b4/1Pk1p1p1/4K1P1/8/8 b - - 28 85,"{'type': 'cp', 'value': 13}"
8/B7/5P2/1p1b4/1k2p1p1/4K1P1/8/8 w - - 0 86,"{'type': 'cp', 'value': 14}"
8/B7/5P2/1p1b4/1k1Kp1p1/6P1/8/8 b - - 1 86,"{'type': 'cp', 'value': 13}"
6b1/B7/5P2/1p6/1k1Kp1p1/6P1/8/8 w - - 2 87,"{'type': 'cp', 'value': 24}"
6b1/8/5P2/1pB5/1k1Kp1p1/6P1/8/8 b - - 3 87,"{'type': 'cp', 'value': 38}"
6b1/8/5P2/1pB5/3Kp1p1/1k4P1/8/8 w - - 4 88,"{'type': 'cp', 'value': 22}"
6b1/8/5P2/1pB5/4K1p1/1k4P1/8/8 b - - 0 88,"{'type': 'cp', 'value': 20}"
6b1/8/5P2/1pB5/2k1K1p1/6P1/8/8 w - - 1 89,"{'type': 'cp', 'value': 20}"
6b1/8/3B1P2/1p6/2k1K1p1/6P1/8/8 b - - 2 89,"{'type': 'cp', 'value': 23}"
8/8/3BbP2/1p6/2k1K1p1/6P1/8/8 w - - 3 90,"{'type': 'cp', 'value': 28}"
5B2/8/4bP2/1p6/2k1K1p1/6P1/8/8 b - - 4 90,"{'type': 'cp', 'value': 27}"
5B2/8/4bP2/1p6/4K1p1/2k3P1/8/8 w - - 5 91,"{'type': 'cp', 'value': 28}"
8/4B3/4bP2/1p6/4K1p1/2k3P1/8/8 b - - 6 91,"{'type': 'cp', 'value': 14}"
8/4B3/4bP2/1p6/4K1p1/6P1/3k4/8 w - - 7 92,"{'type': 'cp', 'value': 16}"
8/4B3/4bP2/1p2K3/6p1/6P1/3k4/8 b - - 8 92,"{'type': 'cp', 'value': 24}"
8/4B3/5P2/1p2K3/2b3p1/6P1/3k4/8 w - - 9 93,"{'type': 'cp', 'value': 24}"
8/4B3/5P2/1p3K2/2b3p1/6P1/3k4/8 b - - 10 93,"{'type': 'cp', 'value': 4}"
6b1/4B3/5P2/1p3K2/6p1/6P1/3k4/8 w - - 11 94,"{'type': 'cp', 'value': 18}"
6b1/4B3/5P2/1p6/6K1/6P1/3k4/8 b - - 0 94,"{'type': 'cp', 'value': 62}"
6b1/4B3/5P2/1p6/6K1/4k1P1/8/8 w - - 1 95,"{'type': 'cp', 'value': 11}"
